Data-Hora, temp. interna, temp. externa, temp. ref., Resist./Vent. (%)
24/1/2023-3:47:54, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:47:55, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:47:56, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:47:57, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:47:58, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:47:59, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:0, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:1, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:2, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:3, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:4, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:5, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:6, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:7, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:8, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:9, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:10, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:11, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:12, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:13, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:14, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:15, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:16, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:17, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:18, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:19, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:20, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:21, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:22, 0.000000, 0.000000, 30.000000, 0.000000 %
 24/1/2023-3:48:23, 35.562500, 0.000000, 30.000000, -100.000000 %
 24/1/2023-3:48:24, 35.625000, 0.000000, 45.000000, -100.000000 %
 24/1/2023-3:48:25, 35.625000, 0.000000, 45.000000, 100.000000 %
 24/1/2023-3:48:26, 35.625000, 0.000000, 45.000000, 100.000000 %
 24/1/2023-3:48:27, 35.625000, 0.000000, 45.000000, 100.000000 %
 24/1/2023-3:48:28, 35.687500, 0.000000, 45.000000, 100.000000 %
 24/1/2023-3:48:29, 35.687500, 0.000000, 45.000000, 100.000000 %
 24/1/2023-3:48:30, 35.687500, 0.000000, 45.000000, 100.000000 %
 24/1/2023-3:48:31, 35.687500, 0.000000, 45.000000, 100.000000 %
